Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps
2023-08-09 15:21:17,Legs,34s,Seated Leg Curl (Machine),1,110.0,8.0
2023-08-09 15:21:17,Legs,34s,Seated Leg Curl (Machine),2,110.0,10.0
2023-08-09 15:21:17,Legs,34s,Seated Leg Curl (Machine),3,120.0,5.0
2023-08-09 15:21:17,Legs,34s,Squat (Barbell),1,135.0,8.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Bench Press (Barbell),1,125.0,8.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Bench Press (Barbell),2,125.0,7.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Bench Press (Barbell),3,125.0,5.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Incline Bench Press (Dumbbell),1,45.0,6.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Incline Bench Press (Dumbbell),2,45.0,4.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Incline Bench Press (Dumbbell),3,45.0,4.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Triceps Dip,1,0.0,4.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Triceps Dip,2,0.0,4.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Triceps Dip,3,0.0,3.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Lateral Raise (Dumbbell),1,12.5,10.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Lateral Raise (Dumbbell),2,15.0,8.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Lateral Raise (Dumbbell),3,15.0,8.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Crunch (Machine),1,45.0,6.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Crunch (Machine),2,45.0,4.0
2023-08-10 16:51:32,Afternoon Workout,23h 26m,Crunch (Machine),3,45.0,3.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Deadlift (Barbell),1,225.0,6.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Deadlift (Barbell),2,225.0,5.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Deadlift (Barbell),3,225.0,3.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Pull Up,1,0.0,4.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Pull Up,2,0.0,2.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Pull Up,3,0.0,2.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Bent Over Row (Barbell),1,95.0,6.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Bent Over Row (Barbell),2,95.0,5.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Bent Over Row (Barbell),3,9.0,5.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Reverse Fly (Machine),1,70.0,10.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Reverse Fly (Machine),2,74.99999999999999,6.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Reverse Fly (Machine),3,74.99999999999999,4.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Incline Curl (Dumbbell),1,20.0,7.0
2023-08-11 16:18:29,Afternoon Workout,72h 7m,Incline Curl (Dumbbell),2,20.0,8.0
2023-08-14 16:26:08,Afternoon Workout,46m,Bench Press (Barbell),1,145.0,1.0
2023-08-14 16:26:08,Afternoon Workout,46m,Bench Press (Barbell),2,135.0,2.0
2023-08-14 16:26:08,Afternoon Workout,46m,Incline Bench Press (Dumbbell),1,45.0,6.0
2023-08-14 16:26:08,Afternoon Workout,46m,Incline Bench Press (Dumbbell),2,45.0,6.0
2023-08-14 16:26:08,Afternoon Workout,46m,Incline Bench Press (Dumbbell),3,45.0,5.0
2023-08-14 16:26:08,Afternoon Workout,46m,Triceps Dip,1,0.0,4.0
2023-08-14 16:26:08,Afternoon Workout,46m,Triceps Dip,2,0.0,4.0
2023-08-14 16:26:08,Afternoon Workout,46m,Triceps Dip,3,0.0,3.0
2023-08-14 16:26:08,Afternoon Workout,46m,Triceps Pushdown (Cable - Straight Bar),1,42.5,6.0
2023-08-14 16:26:08,Afternoon Workout,46m,Lateral Raise (Dumbbell),1,12.5,12.0
2023-08-15 20:37:28,Evening Workout,1,223h 29m,Deadlift (Barbell),1.0,235.0
2023-08-15 20:37:28,Evening Workout,1,223h 29m,Deadlift (Barbell),2.0,235.0
2023-08-15 20:37:28,Evening Workout,1,223h 29m,Deadlift (Barbell),3.0,235.0
2023-08-15 20:37:28,Evening Workout,1,223h 29m,Pull Up,1.0,0.0
2023-08-15 20:37:28,Evening Workout,1,223h 29m,Pull Up,2.0,0.0
2023-08-15 20:37:28,Evening Workout,1,223h 29m,Pull Up,3.0,0.0
2024-10-06 14:23:31,Pull,1h 2m,Pull Up,1,0.0,10.0
2024-10-06 14:23:31,Pull,1h 2m,Pull Up,2,0.0,7.0
2024-10-06 14:23:31,Pull,1h 2m,Pull Up,3,0.0,4.0
2024-10-06 14:23:31,Pull,1h 2m,Iso-Lateral Row (Machine),1,110.0,6.0
2024-10-06 14:23:31,Pull,1h 2m,Iso-Lateral Row (Machine),2,110.0,5.0
2024-10-06 14:23:31,Pull,1h 2m,Face Pull (Cable),1,32.5,10.0
2024-10-06 14:23:31,Pull,1h 2m,Face Pull (Cable),2,32.5,8.0
2024-10-06 14:23:31,Pull,1h 2m,Incline Curl (Dumbbell),1,27.5,11.0
2024-10-06 14:23:31,Pull,1h 2m,Incline Curl (Dumbbell),2,27.5,8.0
2024-10-06 14:23:31,Pull,1h 2m,Bicep Curl (Barbell),1,50.0,10.0
2024-10-06 14:23:31,Pull,1h 2m,Bicep Curl (Barbell),2,50.0,7.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Bench Press (Barbell),1,155.0,4.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Bench Press (Barbell),2,145.0,5.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Incline Bench Press (Smith Machine),1,70.0,11.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Incline Bench Press (Smith Machine),2,70.0,10.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Chest Fly,1,130.0,7.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Triceps Dip,1,0.0,7.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Seated Dip,1,110.0,7.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Seated Dip,2,110.0,12.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Single Arm Tricep,1,17.5,5.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Single Arm Tricep,2,12.5,12.0
2024-10-09 20:41:01,Evening Workout,24h 35m,Lateral Raise (Cable),1,7.5,6.0
2024-10-10 21:16:45,Evening Workout,55m,Pull Up,1,0.0,8.0
2024-10-10 21:16:45,Evening Workout,55m,Pull Up,2,0.0,5.0
2024-10-10 21:16:45,Evening Workout,55m,Pull Up,3,27.0,10.0
2024-10-10 21:16:45,Evening Workout,55m,Low Row Machine ,1,100.0,6.0
2024-10-10 21:16:45,Evening Workout,55m,Low Row Machine ,2,100.0,5.0
2024-10-10 21:16:45,Evening Workout,55m,Low Row Machine ,3,100.0,5.0
2024-10-10 21:16:45,Evening Workout,55m,Face Pull (Cable),1,32.5,12.0
2024-10-10 21:16:45,Evening Workout,55m,Face Pull (Cable),2,32.5,8.0
2024-10-10 21:16:45,Evening Workout,55m,Incline Curl (Dumbbell),1,30.0,7.0
2024-10-10 21:16:45,Evening Workout,55m,Incline Curl (Dumbbell),2,27.5,7.0
2024-10-10 21:16:45,Evening Workout,55m,Bicep Curl (Barbell),1,50.0,11.0
2024-10-13 11:36:34,Morning Workout,53m,Bench Press (Barbell),1,155.0,2.0
2024-10-13 11:36:34,Morning Workout,53m,Bench Press (Barbell),2,145.0,4.0
2024-10-13 11:36:34,Morning Workout,53m,Bench Press (Barbell),3,145.0,4.0
2024-10-13 11:36:34,Morning Workout,53m,Incline Bench Press (Dumbbell),1,45.0,8.0
2024-10-13 11:36:34,Morning Workout,53m,Incline Bench Press (Dumbbell),2,45.0,9.0
2024-10-13 11:36:34,Morning Workout,53m,Chest Fly,1,130.0,9.0
2024-10-13 11:36:34,Morning Workout,53m,Seated Dip,1,120.0,6.0
2024-10-13 11:36:34,Morning Workout,53m,Seated Dip,2,110.0,10.0
2024-10-13 11:36:34,Morning Workout,53m,Lateral Raise (Cable),1,5.0,9.0
2024-10-13 11:36:34,Morning Workout,53m,Lateral Raise (Cable),2,5.0,7.0
2024-10-13 11:36:34,Morning Workout,53m,Single Arm Tricep,1,14.0,7.0
2024-10-14 21:31:48,Evening Workout,2h 32m,Low Row Machine ,1,110.0,9.0
2024-10-14 21:31:48,Evening Workout,2h 32m,Low Row Machine ,2,110.0,7.0
2024-10-14 21:31:48,Evening Workout,2h 32m,Low Row Machine ,3,90.0,7.0
2024-10-14 21:31:48,Evening Workout,2h 32m,Pull Up,1,0.0,7.0
2024-10-14 21:31:48,Evening Workout,2h 32m,Pull Up,2,27.0,8.0
2024-10-14 21:31:48,Evening Workout,2h 32m,Face Pull (Cable),1,37.49999999999999,12.0
2024-10-14 21:31:48,Evening Workout,2h 32m,Face Pull (Cable),2,32.5,14.0
2024-10-14 21:31:48,Evening Workout,2h 32m,Incline Curl (Dumbbell),1,30.0,7.0
2024-10-14 21:31:48,Evening Workout,2h 32m,Incline Curl (Dumbbell),2,27.5,10.0
2024-10-17 20:46:33,Evening Workout,40m,Bench Press (Barbell),1,155.0,4.0
2024-10-17 20:46:33,Evening Workout,40m,Bench Press (Barbell),2,145.0,5.0
2024-10-17 20:46:33,Evening Workout,40m,Bench Press (Barbell),3,115.0,6.0
2024-10-17 20:46:33,Evening Workout,40m,Incline Bench Press (Dumbbell),1,50.0,6.0
2024-10-17 20:46:33,Evening Workout,40m,Triceps Dip,1,0.0,8.0
2024-10-17 20:46:33,Evening Workout,40m,Triceps Dip,2,0.0,7.0
2024-10-17 20:46:33,Evening Workout,40m,Chest Fly,1,135.0,7.0
2024-10-17 20:46:33,Evening Workout,40m,Single Arm Tricep,1,13.75,10.0
2024-10-17 20:46:33,Evening Workout,40m,Lateral Raise (Cable),1,5.0,10.0
2024-10-22 18:28:13,Evening Workout,5h 28m,Bench Press (Barbell),1,155.0,5.0
2024-10-22 18:28:13,Evening Workout,5h 28m,Bench Press (Barbell),2,145.0,5.0
2024-10-22 18:28:13,Evening Workout,5h 28m,Incline Bench Press (Smith Machine),1,90.0,5.0
2024-10-22 18:28:13,Evening Workout,5h 28m,Incline Bench Press (Smith Machine),2,70.0,7.0
2024-10-22 18:28:13,Evening Workout,5h 28m,Seated Dip,1,120.0,12.0
2024-10-22 18:28:13,Evening Workout,5h 28m,Seated Dip,2,120.0,9.0
2024-10-22 18:28:13,Evening Workout,5h 28m,Single Arm Tricep,1,17.5,6.0
2024-10-22 18:28:13,Evening Workout,5h 28m,Lateral Raise (Cable),1,7.5,6.0
2024-10-23 18:54:53,Evening Workout,24h 37m,Pull Up,1,0.0,8.0
2024-10-23 18:54:53,Evening Workout,24h 37m,Pull Up,2,0.0,5.0
2024-10-23 18:54:53,Evening Workout,24h 37m,Low Row Machine ,1,120.0,6.0
2024-10-23 18:54:53,Evening Workout,24h 37m,Low Row Machine ,2,110.0,8.0
2024-10-23 18:54:53,Evening Workout,24h 37m,Reverse Fly (Machine),1,115.0,6.0
2024-10-23 18:54:53,Evening Workout,24h 37m,Reverse Fly (Machine),2,100.0,6.0
2024-10-23 18:54:53,Evening Workout,24h 37m,Incline Curl (Dumbbell),1,30.0,9.0
2024-10-23 18:54:53,Evening Workout,24h 37m,Incline Curl (Dumbbell),2,30.0,5.0
2024-10-23 18:54:53,Evening Workout,24h 37m,Bicep Curl (Barbell),1,50.0,9.0
2024-10-24 21:10:05,Evening Workout,31m,Squat (Smith Machine),1,205.0,5.0
2024-10-24 21:10:05,Evening Workout,31m,Squat (Smith Machine),2,205.0,4.0
2024-10-24 21:10:05,Evening Workout,31m,Seated Leg Press (Machine),1,190.0,11.0
2024-10-24 21:10:05,Evening Workout,31m,Single Leg Curl ,1,35.0,6.0
2024-10-27 20:54:10,Evening Workout,11h 35m,Bench Press (Barbell),1,155.0,5.0
2024-10-27 20:54:10,Evening Workout,11h 35m,Bench Press (Barbell),2,155.0,6.0
2024-10-27 20:54:10,Evening Workout,11h 35m,Incline Bench Press (Smith Machine),1,90.0,6.0
2024-10-27 20:54:10,Evening Workout,11h 35m,Incline Bench Press (Smith Machine),2,70.0,6.0
